id,model,capacity,barcode,brand,year_model,created_at,updated_at
01KZRTCK09EYBY5XMC68X499R8,Sliding Glass Freezer,12cu,00RJUAS75E,Haier,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DHFCMHQNJX94Z9BG,Curved Glass Freezer,15cu,DZ0UQYNG1X,Liebherr,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09GQT701TNJDT5C1JP,Sliding Glass Freezer,15cu,BXFGWFRZOB,Hiron,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09CM008JPM5YYZ6P1V,Curved Glass Lighted Freezer,18cu,VKMZG8K70X,Haier,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09AV49P8YM4FB76NTD,Curved Glass Freezer,12cu,WKB07T774S,Aucma,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK091J27H0GC1C520D0N,Swing-up Freezer,9cu,N3DX45YGAK,Haier,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0969Y3PHJWT8NSCXX4,Sliding Glass Freezer,12cu,KSISMMGPS7,Haier,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09ZP4NFE31ACHCNEMQ,Curved Glass Lighted Freezer,15cu,1SG77TOY77,Hiron,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09PQ0WHN6TMA6XT0SG,Sliding Glass Freezer,24cu,R8WHFF1F8G,Hiron,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09K613ZE5S3784AKGX,Curved Glass Lighted Freezer,12cu,KG705T8IFP,Aucma,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK091J0C4TEXNP70XZSX,Curved Glass Freezer,8cu,KMA9FT9YL2,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09E523A93WX97Q4MZP,Curved Glass Lighted Freezer,15cu,5MD12K5OJK,Aucma,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09VBXPMVJP7ZPMTEXK,Curved Glass Lighted Freezer,15cu,9WWAY5D8YM,Aucma,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RQHMVGFDXFCR9332,Sliding Glass Freezer,15cu,NE9RS046EU,Haier,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0979P77Y69Q7JMXRJW,Sliding Glass Freezer,8cu,WKY08FV84W,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09QKQA7PRHSYWQHPGZ,Sliding Glass Freezer,9cu,KIQM7O1MOK,Aucma,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK093AMWAQ6MWEJX7EPB,Swing-up Freezer,15cu,DGUZ7DJ5PI,Haier,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09M3FGNFT1RNB7PXXP,Curved Glass Freezer,8cu,20OU3O5D4E,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09QD6MY0D99NWN05J6,Sliding Glass Freezer,15cu,XZWWJDKKB6,Aucma,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09SVFVQHA5JNMCDA77,Sliding Glass Freezer,15cu,L2IQMSFC7G,Liebherr,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DGBFH5771SK4RS7S,Curved Glass Lighted Freezer,18cu,ST0BMBQ9D6,Haier,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09QEZKCKZ672X4K053,Curved Glass Lighted Freezer,15cu,645TLXIEXS,Aucma,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09YQV25EMCW2FPDGN8,Curved Glass Freezer,8cu,60LC6X3GW4,Liebherr,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09AV895HB0SAQ0CR9W,Swing-up Freezer,12cu,U539T1K72F,Haier,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK099QJBWN6CP6ETFH2R,Swing-up Freezer,12cu,JNEGG66WZ6,Liebherr,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09MNKMZ2YZN0KV5G3G,Curved Glass Lighted Freezer,18cu,SH9QTEK8F1,Hiron,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Q34HK88C4HAHP82S,Curved Glass Freezer,12cu,H5SOJSZ3T4,Haier,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092Z8HXXBK9XEJ6114,Curved Glass Lighted Freezer,18cu,3YG1IEC68K,Haier,2007,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09BSBG4V5ZNHHQBT4B,Curved Glass Lighted Freezer,24cu,HL4BM54DQC,Hiron,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09SYMG9RJEJYKNNNNY,Sliding Glass Freezer,15cu,24A3KHYQWU,Haier,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09GTAK290CQGVCSQ5R,Sliding Glass Freezer,12cu,R5QZ4C9S57,Hiron,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09P0K1KPC14MPTPA75,Sliding Glass Freezer,8cu,I0IDHUF4OS,Haier,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Z1PF1BAJHD6PH4T6,Curved Glass Lighted Freezer,9cu,TZ7E1XV3UR,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09J6APB1QDVA3ZANM8,Curved Glass Freezer,24cu,A5VKG5G1T8,Liebherr,2001,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK091X8QTJC92JHBS1PP,Curved Glass Freezer,12cu,U3B6AO53YI,Hiron,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09WNPWDBMHCER4ZZFM,Sliding Glass Freezer,8cu,TH2P9JWV14,Liebherr,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK099CJR80GFY52Q88JH,Curved Glass Freezer,12cu,ZPPOCDZ0LY,Aucma,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09BQG9VHVJXP6W2MVW,Curved Glass Lighted Freezer,12cu,AVAEF2CEIA,Hiron,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09EQ6773QWYGE1QPX8,Swing-up Freezer,24cu,ZA8UKQEEKT,Aucma,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09XMFAMK3KJ13G0FFA,Curved Glass Freezer,9cu,WSY4N72SUI,Aucma,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RN9DJ46HGFCMN58Q,Curved Glass Freezer,8cu,UI7GC3Q3HX,Hiron,2015,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09E64Q0179EYSWMBAS,Sliding Glass Freezer,15cu,BHFTKJFA3C,Liebherr,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RB54G4DFKJJMRS5S,Swing-up Freezer,8cu,4S37FFVB4Y,Hiron,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09TPPZ5DYAG2VSCJSZ,Swing-up Freezer,8cu,DM322XQPNT,Aucma,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09HSVZV4FAZTFFNZ02,Swing-up Freezer,24cu,Q6484BAEFA,Hiron,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0943NB0JXF8SXA0YQD,Swing-up Freezer,24cu,JX4CVAWO57,Hiron,2009,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092P35NBQGZBETFGKM,Swing-up Freezer,18cu,ROVVK9JBFD,Haier,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09S558QVBHTFWY4T6N,Curved Glass Freezer,12cu,ZPSASRWFQL,Hiron,2001,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09WM8H16Z5NM2ERRH7,Swing-up Freezer,24cu,2ZDRQZLVLK,Hiron,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09SP0XENY3MPZGTBKB,Curved Glass Lighted Freezer,8cu,K0XDJ235TK,Liebherr,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09R8T2XRGG1WMYE1PF,Swing-up Freezer,9cu,NEGNGIWKTJ,Aucma,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09J2BXCQQY7DERS6NV,Swing-up Freezer,9cu,1G3MEG7X3Z,Hiron,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09QNRBSS9D8P49GQ9Z,Swing-up Freezer,8cu,SFLDJAS3MY,Hiron,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK097X94K5479HSBMC30,Curved Glass Freezer,8cu,T92CV2YMT2,Haier,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DGESDXR7CDZC6TS6,Swing-up Freezer,24cu,W6V536TXI3,Liebherr,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092GFH21QZEA4STMT4,Curved Glass Freezer,24cu,EX8Q1LOFX4,Hiron,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DC6GTXZ401A5Y6XR,Sliding Glass Freezer,18cu,KSHTQ7KQQ5,Haier,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09EJP5A42FJJ311E06,Curved Glass Freezer,24cu,IOTZ6IVBH9,Hiron,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK099MKB7C96NRV7XJCA,Swing-up Freezer,15cu,YAJ90K002A,Liebherr,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK097QCWJVTY6RGX4PPM,Sliding Glass Freezer,15cu,21UQJI8T0V,Hiron,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FRW536QKEMFS0YY5,Swing-up Freezer,9cu,4MIY0Q5TCM,Hiron,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09K0S0XW35Q0YH1Q75,Curved Glass Lighted Freezer,18cu,27HE2AK7NC,Liebherr,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DDM89Y7B0RB7Y4NT,Sliding Glass Freezer,9cu,KN2QEOLIMN,Aucma,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09J2402JFK7RW8FTFE,Curved Glass Freezer,12cu,QQDD6OKNZT,Aucma,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FW958EZGRF419YF4,Curved Glass Freezer,24cu,ZFQTYGN0E0,Haier,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09W43PB8H7GTEZPBE9,Curved Glass Freezer,18cu,X9S17FNQRG,Aucma,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09TAMJVAM131D6S7EG,Sliding Glass Freezer,12cu,RTCIAQV9UA,Haier,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09JDN45Y0CMF0QB4H0,Curved Glass Freezer,12cu,25SY5TNLH8,Hiron,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK091SKR3CCAJKYCHETW,Sliding Glass Freezer,18cu,XLDRRD5XZZ,Liebherr,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09P5CD1152EPKGK51C,Sliding Glass Freezer,9cu,Z02CX6RUFU,Liebherr,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09NGT5HT0Y8Y4025CK,Sliding Glass Freezer,8cu,8V3JO97B5U,Hiron,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Y8MF057A1TBJXT7Z,Curved Glass Lighted Freezer,24cu,QR1F7WJKXE,Liebherr,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09MNMMTG518PGQ0WG8,Curved Glass Lighted Freezer,12cu,3F8O89AQSE,Hiron,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DA210FMMKJN9MHSH,Curved Glass Freezer,24cu,SDU2W8DQ6S,Haier,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09VATQ888BPKA4D4MK,Curved Glass Freezer,24cu,OV0Y1BXERU,Haier,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092Y0KQQ4BKC4GQC07,Curved Glass Freezer,9cu,3BCMJKMIUF,Liebherr,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09F3N1M25RNM29Y3P9,Swing-up Freezer,8cu,BCSCQYFF7X,Hiron,2009,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09AXGRFPA5QGV2J60H,Sliding Glass Freezer,15cu,2ZMFD57U0S,Liebherr,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09YX60CAAE5Y4MRND9,Curved Glass Lighted Freezer,12cu,QSBGRP9RUM,Liebherr,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KXNHBE68FWAA60N4,Curved Glass Lighted Freezer,24cu,MGPTY6O8JO,Hiron,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09GJDXVC7JCP3GRKRD,Sliding Glass Freezer,18cu,2SNX9QXY5A,Liebherr,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092GJFW0FN0EKYPGEY,Curved Glass Lighted Freezer,24cu,42NJTN9G9I,Aucma,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09NJGGJ11079F287G0,Swing-up Freezer,15cu,UF9ME12ESU,Liebherr,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09EJ1X7KHTE2DPPTYR,Curved Glass Freezer,24cu,I16J7DE8M1,Aucma,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09PFWN3HFQVTVA1G1N,Curved Glass Freezer,24cu,X015E0ORMR,Hiron,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09W7KVC9CQ2DAB6DNM,Sliding Glass Freezer,12cu,RWOC4TNGUL,Haier,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09JN0THVZ31Y0WZVVG,Curved Glass Freezer,9cu,8PSPEVS2GF,Hiron,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK096MHZ7YWHSG3TP8MY,Swing-up Freezer,24cu,N3C2T1GRAR,Hiron,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09HB4VP5Z9TR48H6Z6,Curved Glass Lighted Freezer,9cu,BMXASO2HCB,Aucma,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09WY48TBEW82X4ANB8,Curved Glass Lighted Freezer,24cu,LDH078IDAW,Haier,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09GPF9GZPNA2A2Y4M8,Curved Glass Lighted Freezer,8cu,QLI1N0ZEKZ,Liebherr,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09ZHH89VZ0S97GSFGZ,Sliding Glass Freezer,24cu,0WIFE89PRD,Hiron,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK096JKE3G89FWFJ6C79,Sliding Glass Freezer,9cu,HOZ5NC0GOZ,Aucma,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09XRZ3AA9VX16ZNSX1,Sliding Glass Freezer,8cu,5AVW6R4OHX,Liebherr,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK091627YFZ7HXSNH8RT,Swing-up Freezer,8cu,6RRZRRSNNS,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Y3R2M1FRET9HHVA2,Sliding Glass Freezer,9cu,06ZYLNWXFC,Hiron,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK096JA4SNPTP9NVGC7Z,Sliding Glass Freezer,18cu,MC2OFOY3HE,Haier,2009,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FQ52VN3GMKNENJXK,Curved Glass Freezer,24cu,S6S2234VK4,Liebherr,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09HWM5BCW4QXKREHFH,Curved Glass Lighted Freezer,9cu,07HSGP5ZEG,Aucma,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK097N5MMYHYWSQMYQ9C,Curved Glass Lighted Freezer,12cu,A60H7YH6NM,Haier,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09MM14TBX047KBPTXX,Curved Glass Lighted Freezer,9cu,LMP5GS7XSR,Haier,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09AFG55B84Z3NE33WW,Curved Glass Lighted Freezer,9cu,KKO3CZ8ESQ,Liebherr,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
