id,status,freezer_id,account_id,user_id,created_at,updated_at,origin,destination
01KZV5Q32EHR963Z77ZQPHWA4A,for downgrade,01KZRTCK0DPG79BQCJ03YESKH6,01KZRRGW140MQ9ZE887EQDG87Z,01KZRW48779S7EXPA0TNQWKTA6,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14XPKB44H9B6WS515H,01KZRRGW14A7VW9HY70W2ZKDCX
01KZV5Q32EJAW1WF8F8W691PWH,for downgrade,01KZRTCK0BY94RS25MVQG5ANV3,01KZRRGW143XAZME28X8CPEY8S,01KZRW4877T3XV4P4JY2BTWW8J,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14K9GDB2KGW0SVFJBM,01KZRRGW14PHE1YJB3BS55XR3K
01KZV5Q32E8D7PB470MRW4WMNK,for upgrade,01KZRTCK0ECDDPYJ12K91GHAEQ,01KZRRGW14G35YB41SN7AN85CV,01KZRW4877W4J1M6PJM0QPSR4V,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14EVYGVAR1F5M4N714,01KZRRGW14DC1V4DFEXXX74JBW
01KZV5Q32ECRERGNV4S1JSE40G,pullout by dealer,01KZRTCK0CF7VCNFNEBHA9MSYH,01KZRRGW14PHE1YJB3BS55XR3K,01KZRW4877D5ZY6TAERNGTV34K,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14N5VHBCMAJGNJ0GJH,01KZRRGW147SW8PDR6Z12DT4B9
01KZV5Q32EW87P4ATJTSB10MGT,pullout by distributor,01KZRTCK0GPV0H93X3R2NKCDPT,01KZRRGW14WH1V6PTWDSASC4XK,01KZRW48774A2DK7QW4RW8GRQD,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW143XAZME28X8CPEY8S,01KZRRGW140MQ9ZE887EQDG87Z
01KZV5Q32E4KZMXEJT8VQQ5QNK,pullout by distributor,01KZRTCK0AA8AJDQM61AJQ7WJ9,01KZRRGW143XAZME28X8CPEY8S,01KZRW4877SVSEW2MKDM1JJJMY,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14200T0G4QVVJEZMW1,01KZRRGW14X04WHWJ78QR6J8H3
01KZV5Q32EJJXXZVRFYM4MSNXC,deployment,01KZRTCK0DJ1AEH6Q0BTAA5HYW,01KZRRGW14X04WHWJ78QR6J8H3,01KZRW4877D0MJ7B5AT3RZ0G0Q,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14Y65J9N71RS7C99PT,01KZRRGW143XAZME28X8CPEY8S
01KZV5Q32EGCP7EB5V4F3H12F7,deployment,01KZRTCK09CJ6HP50ZGWAQY2QQ,01KZRRGW149RPSGBHQY8MZC6NF,01KZRW48777JDTMGDM6JZY87AF,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14THZB9B34PPHZSFE2,01KZRRGW14VWS3587600FPGYJJ
01KZV5Q32ESXC0GP7FAYAVPVSC,for downgrade,01KZRTCK09Z8X8J17D7WY4W33V,01KZRRGW142RC6MARTSS19R7GK,01KZRW4877R9Q45MFW4A93MM51,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14N5VHBCMAJGNJ0GJH,01KZRRGW14KMGR1H2QPNVXB420
01KZV5Q32EW1WPCT02327SWYRR,deployment,01KZRTCK09JACE1FPKA3FQAN12,01KZRRGW14EVYGVAR1F5M4N714,01KZRW4877TRFEBWEFKEZC1X5H,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14KBMMYGKVHMX9RQD8,01KZRRGW142XAJ3EN2YJAF1HJB
01KZV5Q32EMS12A925FQBBQWDM,for replacement - broken unit,01KZRTCK0BNANWZ0WQZA1Q55AK,01KZRRGW14DC1V4DFEXXX74JBW,01KZRW4877D9R8T6DSGNC22W4X,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14SVP3PKMRRXC2J621,01KZRRGW14EVYGVAR1F5M4N714
01KZV5Q32EN9E9SYS985YHFBHD,for replacement - broken unit,01KZRTCK0CV8R23PSZTP3SN5QC,01KZRRGW14VWS3587600FPGYJJ,01KZRW4877WQZA5NY9SXK8D7Q3,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14MXEWF9HMYNXVS5ER,01KZRRGW14N9EVMX0Z1ZRJRRAH
01KZV5Q32ESEV0Y7Z8QZJGSFGH,pullout by dealer,01KZRTCK0CKVTRXF06YEV6NB99,01KZRRGW14KMGR1H2QPNVXB420,01KZRW4877Z8TPYQZSPSR7KQ3R,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14KVWBG89MRPJPJBXC,01KZRRGW14200T0G4QVVJEZMW1
01KZV5Q32EQER0FYV27ZJHF5ED,for upgrade,01KZRTCK0CVW4N51KY1VQMMKJE,01KZRRGW14X04WHWJ78QR6J8H3,01KZRW4877A147WBBGMNMTXNA3,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW140MQ9ZE887EQDG87Z,01KZRRGW14KVWBG89MRPJPJBXC
01KZV5Q32EJ23PSSDEZKYCGQMJ,for pullout,01KZRTCK0DD12V6VKQQCS94ZVM,01KZRRGW14X9Y2N7Y1J43BS87F,01KZRW4877ASYYCMJDQ4ZM72CY,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14K9GDB2KGW0SVFJBM,01KZRRGW14KMGR1H2QPNVXB420
01KZV5Q32EPQ2W7XNRTY6J49S9,for pullout,01KZRTCK0GNWZXD03GJ08DNY97,01KZRRGW143XAZME28X8CPEY8S,01KZRW4877WQZA5NY9SXK8D7Q3,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14MXEWF9HMYNXVS5ER,01KZRRGW143DR9TSRKKQDPRDKM
01KZV5Q32E7RZ2YBX5T2AFKAWQ,for downgrade,01KZRTCK0DEW20409ZB44XFM72,01KZRRGW14Y65J9N71RS7C99PT,01KZRW4877RK7R5ZV77193KMDQ,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14SVP3PKMRRXC2J621,01KZRRGW142RC6MARTSS19R7GK
01KZV5Q32E0JZ1EY24PSHE8PKF,for upgrade,01KZRTCK0BEYFZZZHH38X5HN06,01KZRRGW14MXEWF9HMYNXVS5ER,01KZRW4877HTSZDBP5ZKDZNQYA,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14WSB3JJJKQDEREKF3,01KZRRGW14VWS3587600FPGYJJ
01KZV5Q32ETDAW1JGRBA2W67Y0,pullout by dealer,01KZRTCK0CE8HX9SBE3KTPHM8W,01KZRRGW149RPSGBHQY8MZC6NF,01KZRW48779CWAQ752ZGCV7AN3,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW1442K27HM42RTFZG1M,01KZRRGW14N56M3HGFGXE3FN5T
01KZV5Q32EYAX846JCS34HDX33,for replacement - broken unit,01KZRTCK0ADMHZHHRCYBPAS4E4,01KZRRGW14THZB9B34PPHZSFE2,01KZRW4877MFF924CSKP3J6WW4,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14KVWBG89MRPJPJBXC,01KZRRGW14KBMMYGKVHMX9RQD8
01KZV5Q32EK4S5Y3TZG3KPADS4,for downgrade,01KZRTCK0GF6MN2Q4H2087EGE7,01KZRRGW14X9Y2N7Y1J43BS87F,01KZRW4877SBDJ1EK7XZMJJQ2W,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14THZB9B34PPHZSFE2,01KZRRGW14K9GDB2KGW0SVFJBM
01KZV5Q32EJRKA2B9ZX08XE53T,for downgrade,01KZRTCK0EKN2D2B328YJ1WW2H,01KZRRGW14FX4FRK4R4E3MKR5J,01KZRW4877CATZ1KPW5MYDDBWC,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW1448AZYH3Y9E70DS21,01KZRRGW140MQ9ZE887EQDG87Z
01KZV5Q32EXYGPYB5JRGP9QKB1,pullout by distributor,01KZRTCK0GD8AF8BTK4T4B9DJD,01KZRRGW14DC1V4DFEXXX74JBW,01KZRW48779CWAQ752ZGCV7AN3,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW147SW8PDR6Z12DT4B9,01KZRRGW14EVYGVAR1F5M4N714
01KZV5Q32FCK2GHQKD9WSPBQZ1,deployment,01KZRTCK09WY48TBEW82X4ANB8,01KZRRGW14SVP3PKMRRXC2J621,01KZRW48777JDTMGDM6JZY87AF,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14X04WHWJ78QR6J8H3,01KZRRGW14X9Y2N7Y1J43BS87F
01KZV5Q32F504MYR4SDCAWZNEA,deployment,01KZRTCK0G0YCS65GWQ8Q0F0XT,01KZRRGW14WH1V6PTWDSASC4XK,01KZRW4877FQ91CFKG4PJTR1JJ,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14W9JF1K1J0X6X34N8,01KZRRGW1442K27HM42RTFZG1M
01KZV5Q32FSJ2Y983HNSW2B7XW,for pullout,01KZRTCK0EGEKY4EKT9Q96046A,01KZRRGW147SW8PDR6Z12DT4B9,01KZRW4877B3D0MZHS3AQRJ814,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14J5MRZ241JHXYMPE5,01KZRRGW14SVP3PKMRRXC2J621
01KZV5Q32FSEAY2KKVT7G44XW1,for replacement - broken unit,01KZRTCK0DEW20409ZB44XFM72,01KZRRGW14N5VHBCMAJGNJ0GJH,01KZRW4877NAVZSR88Z0ZHKRW9,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14K9GDB2KGW0SVFJBM,01KZRRGW14J5MRZ241JHXYMPE5
01KZV5Q32FWK3BYEQAJ12GNNE6,pullout by distributor,01KZRTCK0GSBVZEVQQ2S050RP5,01KZRRGW14200T0G4QVVJEZMW1,01KZRW4877BKP2FRH1B8G1CTC9,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14X04WHWJ78QR6J8H3,01KZRRGW14SVP3PKMRRXC2J621
01KZV5Q32FY8JHFSV1KJ4C6YKA,for upgrade,01KZRTCK09QKQA7PRHSYWQHPGZ,01KZRRGW14N56M3HGFGXE3FN5T,01KZRW48774A2DK7QW4RW8GRQD,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14VWS3587600FPGYJJ,01KZRRGW1448AZYH3Y9E70DS21
01KZV5Q32F61B514T5HCKZD2DA,deployment,01KZRTCK09GQT701TNJDT5C1JP,01KZRRGW14N5VHBCMAJGNJ0GJH,01KZRW4877JT4P6WNFK8H35SP9,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW149RPSGBHQY8MZC6NF,01KZRRGW14XPKB44H9B6WS515H
01KZV5Q32FM4BWABEY3QGMABBM,for replacement - broken unit,01KZRTCK0BRM6G9VK7VCHRM0H8,01KZRRGW146F8C4946XJM2S6EC,01KZRW4877VGS7YRYB4P0A5H4N,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14WSB3JJJKQDEREKF3,01KZRRGW143XAZME28X8CPEY8S
01KZV5Q32FD54C5504FX5BNDQA,pullout by distributor,01KZRTCK0CRPK7GMM4D2FWBGVG,01KZRRGW1442K27HM42RTFZG1M,01KZRW4877C3T2MSDMNBQ24EB4,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW149RPSGBHQY8MZC6NF,01KZRRGW147SW8PDR6Z12DT4B9
01KZV5Q32FB3FBSAZHRAJSKWJ6,for downgrade,01KZRTCK0AKW3WT9N3VW1A0EQY,01KZRRGW14N9EVMX0Z1ZRJRRAH,01KZRW4877RK7R5ZV77193KMDQ,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14DC1V4DFEXXX74JBW,01KZRRGW14EVYGVAR1F5M4N714
01KZV5Q32FEYEKSFM22959N2V5,for replacement - broken unit,01KZRTCK0D32PQZ49N7W9RYQT0,01KZRRGW14200T0G4QVVJEZMW1,01KZRW48779S54N1CEJC2Y3AZY,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW147SW8PDR6Z12DT4B9,01KZRRGW14N9EVMX0Z1ZRJRRAH
01KZV5Q32FY1572MTRRGGG4A8X,pullout by distributor,01KZRTCK09DDM89Y7B0RB7Y4NT,01KZRRGW14DC1V4DFEXXX74JBW,01KZRW4877Z1GGC6GJTVS7J2AP,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14DC1V4DFEXXX74JBW,01KZRRGW14MXEWF9HMYNXVS5ER
01KZV5Q32F7TN14R66P9K9S7X8,for pullout,01KZRTCK0AVP8VPXMGC3W7CZ6Y,01KZRRGW1442K27HM42RTFZG1M,01KZRW4877AZR5K32Y5PAGXHRC,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14J5MRZ241JHXYMPE5,01KZRRGW14K9GDB2KGW0SVFJBM
01KZV5Q32FQMCKZX650M683FNN,pullout by dealer,01KZRTCK0D2N9CTQA40NE298EB,01KZRRGW147SW8PDR6Z12DT4B9,01KZRW4877B4VKB2E5TT4BWFP8,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14DC1V4DFEXXX74JBW,01KZRRGW14JQ7JEW5HBDS8P7VJ
01KZV5Q32F6YYMR36F608E5D1K,deployment,01KZRTCK0E2W8H97XT7FX0SE39,01KZRRGW14EVYGVAR1F5M4N714,01KZRW4877J6H9QTAKXMT8A2FE,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14K9GDB2KGW0SVFJBM,01KZRRGW14PHE1YJB3BS55XR3K
01KZV5Q32F0FS2M34A4TGW9K6N,for pullout,01KZRTCK0GR9N21MD31VNZ4MGN,01KZRRGW147SW8PDR6Z12DT4B9,01KZRW4877E1K1FVC8Z9DHP6KE,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14SVP3PKMRRXC2J621,01KZRRGW147SW8PDR6Z12DT4B9
01KZV5Q32FWW136CGW56HEHANA,pullout by distributor,01KZRTCK0CT0BJRH15H5BAZ5ZB,01KZRRGW1442K27HM42RTFZG1M,01KZRW4877B4VKB2E5TT4BWFP8,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14XPKB44H9B6WS515H,01KZRRGW14X9Y2N7Y1J43BS87F
01KZV5Q32FVQVKNV2ZYF3VC63D,for upgrade,01KZRTCK09MBGRQZ918B0JYQNE,01KZRRGW14FX4FRK4R4E3MKR5J,01KZRW487741KD7GWF4QB79EFH,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14W9JF1K1J0X6X34N8,01KZRRGW14X9Y2N7Y1J43BS87F
01KZV5Q32F6MZAA6SR6WXGD6EP,pullout by distributor,01KZRTCK0DDZXDH4NJT0BQ6C0Z,01KZRRGW1448AZYH3Y9E70DS21,01KZRW4877F027DTG1RSTES089,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14THZB9B34PPHZSFE2,01KZRRGW14SVP3PKMRRXC2J621
01KZV5Q32F36MVRKHZM3XGQT6X,deployment,01KZRTCK0DQYHSHQW9T5T0BNBS,01KZRRGW14KMGR1H2QPNVXB420,01KZRW4877E1K1FVC8Z9DHP6KE,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW140MQ9ZE887EQDG87Z,01KZRRGW14WH1V6PTWDSASC4XK
01KZV5Q32FMXCSR3HAHWB4MZQV,for upgrade,01KZRTCK0A3KJGBGWMS8Y0S0K6,01KZRRGW14KBMMYGKVHMX9RQD8,01KZRW4877VZEYQPDKKQXF13AV,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14KBMMYGKVHMX9RQD8,01KZRRGW14JQ7JEW5HBDS8P7VJ
01KZV5Q32F9FWW7CHGHJ42Y1VB,deployment,01KZRTCK0FDZ132JNVAJDRFRB3,01KZRRGW14KVWBG89MRPJPJBXC,01KZRW4877QZNEVFAY7G115HT9,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14X9Y2N7Y1J43BS87F,01KZRRGW146F8C4946XJM2S6EC
01KZV5Q32FJCBRNZY8WW91QHEM,for upgrade,01KZRTCK0GD3KSYHKYZ817VG0Q,01KZRRGW14J5MRZ241JHXYMPE5,01KZRW48773GHQQ4H8241WY49R,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14N5VHBCMAJGNJ0GJH,01KZRRGW1448AZYH3Y9E70DS21
01KZV5Q32FG3KZA2TQ86MZ209J,for downgrade,01KZRTCK0F18GFJGT1TF7QT9SD,01KZRRGW14EVYGVAR1F5M4N714,01KZRW4877D5ZY6TAERNGTV34K,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14G35YB41SN7AN85CV,01KZRRGW14FX4FRK4R4E3MKR5J
01KZV5Q32FMYC90JBTKEN85XP9,for downgrade,01KZRTCK0EFF74DNPMQBMAV6VJ,01KZRRGW14WSB3JJJKQDEREKF3,01KZRW4877TRFEBWEFKEZC1X5H,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14EVYGVAR1F5M4N714,01KZRRGW14PHE1YJB3BS55XR3K
01KZV5Q32FVH8ZK1RX5ZV7XW7C,deployment,01KZRTCK0GD8AF8BTK4T4B9DJD,01KZRRGW14EVYGVAR1F5M4N714,01KZRW4877HTSZDBP5ZKDZNQYA,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14XPKB44H9B6WS515H,01KZRRGW14RBSVD8GEY7WA5YWC
01KZV5Q32FYNM1JAKPMAES2H66,for upgrade,01KZRTCK0EAFH5TWYC1JCSMC1N,01KZRRGW14X04WHWJ78QR6J8H3,01KZRW48771VS10A2E45E408EC,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW1448AZYH3Y9E70DS21,01KZRRGW14N5VHBCMAJGNJ0GJH
01KZV5Q32F8X95NNSGBWP7Q3A5,pullout by distributor,01KZRTCK0GMDM40TGX0C3EYTK7,01KZRRGW14A7VW9HY70W2ZKDCX,01KZRW4877SVSEW2MKDM1JJJMY,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14WH1V6PTWDSASC4XK,01KZRRGW14SVP3PKMRRXC2J621
01KZV5Q32FQ4NX1G5T79RYPPWR,for replacement - broken unit,01KZRTCK0EXZC6P5W4YHXKRDYG,01KZRRGW14Y65J9N71RS7C99PT,01KZRW4877G39D68T0PQZ5M81A,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14N56M3HGFGXE3FN5T,01KZRRGW14KBMMYGKVHMX9RQD8
01KZV5Q32F8Y8C7HRCYNS8ZWM6,for downgrade,01KZRTCK0CT7001ZQ6X2W5WS1G,01KZRRGW14WSB3JJJKQDEREKF3,01KZRW4877B4VKB2E5TT4BWFP8,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14W9JF1K1J0X6X34N8,01KZRRGW140MQ9ZE887EQDG87Z
01KZV5Q32FMHRFE43CXHP5YWJ1,for pullout,01KZRTCK0BC3D1HAFD5T2AMNFB,01KZRRGW14DC1V4DFEXXX74JBW,01KZRW4877C3T2MSDMNBQ24EB4,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW1448AZYH3Y9E70DS21,01KZRRGW140MQ9ZE887EQDG87Z
01KZV5Q32FDBXE0APVK50D0B5E,for downgrade,01KZRTCK0ANJQVREKV0BCZPGRZ,01KZRRGW14A7VW9HY70W2ZKDCX,01KZRW4877HVT4X8HFK0HTQ94N,2026-08-23 18:02:06.840256+08,2026-08-23 18:02:06.840256+08,01KZRRGW14RBSVD8GEY7WA5YWC,01KZRRGW1442K27HM42RTFZG1M
