id,name,address,phone,isr_code,sap_code,company_code,type,status,associate_id,created_at,updated_at
01KZRRGW14J5MRZ241JHXYMPE5,Celestial Dynamics,42 Comet Orbit Way Andromeda Zone 55012,(602) 555-8093,R7T6Y5U4,N3M2B1V0,K9J8I7H,dealer,active,01KZRRGW14N56M3HGFGXE3FN5T,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14Z2V2BPKDSQ6DKV67,Nebula Logistics,901 Star Cluster Drive Orion Sector 7,(310) 555-0182,F1G2H3J4,K5L6M7N8,P0O9I8U,dealer,active,01KZRRGW14N56M3HGFGXE3FN5T,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW142RC6MARTSS19R7GK,Aetheris Systems,101 Stellar Way Orion Belt 44321,(202) 555-0101,S1A2B3C4,X1Y2Z3A4,P1Q2R3S4,franchisee,active,01KZRRGW14KMGR1H2QPNVXB420,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14X9Y2N7Y1J43BS87F,Void Dynamics,55 Lunar Lane Crater City 33901,(202) 555-0102,A5B6C7D8,Y2Z3X4W5,R2S3T4U5,franchisee,active,01KZRRGW14KMGR1H2QPNVXB420,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW146F8C4946XJM2S6EC,Zenith Logistics,99 Comet Trail Galaxy 88710,(202) 555-0103,B1C2D3E4,Z3A4B5C6,S1T2U3V4,franchisee,active,01KZRRGW14KMGR1H2QPNVXB420,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14XPKB44H9B6WS515H,Nebula Tech,12 Stellar Way Andromeda 11234,(202) 555-0104,C1D2E3F4,A5B6C7D8,T2U3V4W5,franchisee,active,01KZRRGW143DR9TSRKKQDPRDKM,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14A7VW9HY70W2ZKDCX,Astral Reach,77 Supernova St Orion 55432,(202) 555-0105,D1E2F3G4,B6C7D8E9,U1V2W3X4,franchisee,active,01KZRRGW143DR9TSRKKQDPRDKM,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14WSB3JJJKQDEREKF3,Galactic Core,20 Meteor Road Mars 99876,(202) 555-0106,E1F2G3H4,C7D8E9F0,V1W2X3Y4,franchisee,active,01KZRRGW143DR9TSRKKQDPRDKM,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW147SW8PDR6Z12DT4B9,Pulse Dynamics,15 Orbit Way Galaxy 44556,(202) 555-0107,F1G2H3I4,D8E9F0G1,W1X2Y3Z4,franchisee,active,01KZRRGW14MXEWF9HMYNXVS5ER,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14W9JF1K1J0X6X34N8,Nova Stream,33 Gravity Way Orion 66778,(202) 555-0108,G1H2I3J4,E9F0G1H2,X1Y2Z3A4,franchisee,active,01KZRRGW14MXEWF9HMYNXVS5ER,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14SVP3PKMRRXC2J621,Titanium Way,88 Nebula Rd Andromeda 22334,(202) 555-0109,H1I2J3K4,F0G1H2I3,Y1Z2A3B4,franchisee,active,01KZRRGW14MXEWF9HMYNXVS5ER,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14X04WHWJ78QR6J8H3,Core Systems,21 Star Way Orion 99001,(202) 555-0110,I1J2K3L4,G1H2I3J4,Z1A2B3C4,franchisee,active,01KZRRGW14DC1V4DFEXXX74JBW,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14THZB9B34PPHZSFE2,EtherFlow,12 Celestial Way Galaxy 11223,(202) 555-0111,J1K2L3M4,H2I3J4K5,A1B2C3D4,franchisee,active,01KZRRGW14DC1V4DFEXXX74JBW,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW140MQ9ZE887EQDG87Z,Orbit Flow,44 Nova Way Andromeda 33445,(202) 555-0112,K1L2M3N4,I3J4K5L6,B1C2D3E4,franchisee,active,01KZRRGW14DC1V4DFEXXX74JBW,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14VWS3587600FPGYJJ,Zenith Star,34 Meteor Way Mars 55667,(202) 555-0113,L1M2N3O4,J4K5L6M7,C1D2E3F4,franchisee,active,01KZRRGW14KBMMYGKVHMX9RQD8,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14Y65J9N71RS7C99PT,Pulse Star,22 Orbit Way Orion 77889,(202) 555-0114,M1N2O3P4,K5L6M7N8,D1E2F3G4,franchisee,active,01KZRRGW14KBMMYGKVHMX9RQD8,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14N9EVMX0Z1ZRJRRAH,Nova Reach,11 Cosmic Way Galaxy 99001,(202) 555-0115,N1O2P3Q4,L6M7N8O9,E1F2G3H4,franchisee,active,01KZRRGW14KBMMYGKVHMX9RQD8,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14WH1V6PTWDSASC4XK,Sync Flow,56 Gravity Way Mars 12345,(202) 555-0116,O1P2Q3R4,M7N8O9P0,F1G2H3I4,franchisee,active,01KZRRGW149RPSGBHQY8MZC6NF,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14EVYGVAR1F5M4N714,Prime Way,33 Nebula Rd Andromeda 23456,(202) 555-0117,P1Q2R3S4,N8O9P0Q1,G1H2I3J4,franchisee,active,01KZRRGW149RPSGBHQY8MZC6NF,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14200T0G4QVVJEZMW1,Apex Flow,99 Supernova St Orion 34567,(202) 555-0118,Q1R2S3T4,O9P0Q1R2,H1I2J3K4,franchisee,active,01KZRRGW149RPSGBHQY8MZC6NF,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14PHE1YJB3BS55XR3K,Luna Reach,14 Stellar Way Galaxy 45678,(202) 555-0119,R1S2T3U4,P0Q1R2S3,I1J2K3L4,franchisee,active,01KZRRGW14K9GDB2KGW0SVFJBM,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14JQ7JEW5HBDS8P7VJ,Nova Core,22 Orbit Way Mars 56789,(202) 555-0120,S1T2U3V4,Q1R2S3T4,J1K2L3M4,franchisee,active,01KZRRGW14K9GDB2KGW0SVFJBM,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14FX4FRK4R4E3MKR5J,Orbit Reach,33 Gravity Way Andromeda 67890,(202) 555-0121,T1U2V3W4,R2S3T4U5,K1L2M3N4,franchisee,active,01KZRRGW14K9GDB2KGW0SVFJBM,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14KVWBG89MRPJPJBXC,Nova Way,45 Meteor Rd Orion 78901,(202) 555-0122,U1V2W3X4,S3T4U5V6,L1M2N3O4,franchisee,active,01KZRRGW14J5MRZ241JHXYMPE5,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW143XAZME28X8CPEY8S,Pulse Core,56 Nova Way Galaxy 89012,(202) 555-0123,V1W2X3Y4,T4U5V6W7,M1N2O3P4,franchisee,active,01KZRRGW14J5MRZ241JHXYMPE5,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14RBSVD8GEY7WA5YWC,Zenith Way,67 Supernova St Mars 90123,(202) 555-0124,W1X2Y3Z4,U5V6W7X8,N1O2P3Q4,franchisee,active,01KZRRGW14J5MRZ241JHXYMPE5,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW1448AZYH3Y9E70DS21,Flow Reach,78 Orbit Way Andromeda 01234,(202) 555-0125,X1Y2Z3A4,V6W7X8Y9,O1P2Q3R4,franchisee,active,01KZRRGW14Z2V2BPKDSQ6DKV67,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW14G35YB41SN7AN85CV,Orbit Flow,89 Gravity Way Orion 12345,(202) 555-0126,Y1Z2A3B4,W7X8Y9Z0,P1Q2R3S4,franchisee,active,01KZRRGW14Z2V2BPKDSQ6DKV67,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
01KZRRGW142XAJ3EN2YJAF1HJB,Nova Star,90 Nebula Rd Galaxy 23456,(202) 555-0127,Z1A2B3C4,X8Y9Z0A1,Q1R2S3T4,franchisee,active,01KZRRGW14Z2V2BPKDSQ6DKV67,2026-08-23 15:50:32.316514+08,2026-08-23 15:50:32.316514+08
